workload,model,status,paper_bw_speedup,walltime_at_paper_best,tool_at_paper_best,best_walltime_speedup,best_iter_bw,best_iter_walltime,best_iter_agrees,n_decision_disagreements,bytes_ratio,ops_ratio,opens_ratio,work_changed,work_source,bytes_configured_ratio,files_configured_ratio,record_cap_hit,guarded_walltime,n_phases,primary_log,note
ior_random_access,llama-70b,converged,1.0,1.0,1.0,7.207153388463724,-1,1,False,0,1.0,1.0,1.0,False,,,,,1.0,,mbanisha_ior_id17318796-2298452_4-6-5002-4680340556177058073_1.darshan,loop kept the baseline config (no iteration improved bw)
ior_small_direct,claude-sonnet,converged,11.0,9.519162932000695,9.295071335927368,9.519162932000695,0,0,True,0,1.0,0.00390625,1.0,False,darshan,,,False,9.519162932000695,1,mbanisha_ior_id17318876-3647407_4-6-5155-10973916872289078448_1.darshan,
ior_small_direct,gpt-4o,converged,11.26,9.309278154946988,9.540973111395648,9.309278154946988,0,0,True,0,1.0,0.00390625,1.0,False,darshan,,,False,9.309278154946988,1,mbanisha_ior_id17318871-1646735_4-6-5156-1776591759613330591_1.darshan,
ior_small_direct,gpt-4.1-mini,converged,3.56,3.774953235819376,3.240858843537415,3.774953235819376,0,0,True,0,1.0,0.00390625,1.0,False,darshan,,,False,3.774953235819376,1,mbanisha_ior_id17338573-4190588_4-6-54514-11318638692826961167_1.darshan,
ior_small_direct,llama-70b,converged,12.19,13.228897959069757,12.448517940717629,13.228897959069757,0,0,True,0,1.0,0.00390625,1.0,False,darshan,,,False,13.228897959069757,1,mbanisha_ior_id17318886-3584239_4-6-5231-9373971001017848513_1.darshan,
ior_small_posix,claude-sonnet,converged,5.97,7.925332211869882,7.6943363282528825,7.925332211869882,0,0,True,0,1.0,6.103515625e-05,1.0,False,darshan,,,False,7.925332211869882,1,mbanisha_ior_id17380938-3939285_4-7-15486-1967200634950136206_1.darshan,
ior_small_posix,gpt-4o,converged,4.6,6.218996107970561,5.005617480537863,6.218996107970561,0,0,True,0,1.0,6.103515625e-05,1.0,False,darshan,,,False,6.218996107970561,1,mbanisha_ior_id17318842-2303471_4-6-5078-3419955817403460160_2.darshan,
ior_small_posix,gpt-4.1-mini,converged,3.09,2.8969484246835084,3.7026739053224413,2.8969484246835084,0,0,True,0,1.0,6.103515625e-05,1.0,False,darshan,,,False,2.8969484246835084,1,mbanisha_ior_id17338591-1292812_4-6-54515-1989457224697286147_1.darshan,
ior_small_posix,llama-70b,converged,4.8,5.790425345627328,5.074810293632464,5.790425345627328,0,0,True,0,1.0,6.103515625e-05,1.0,False,darshan,,,False,5.790425345627328,1,mbanisha_ior_id17318851-2298927_4-6-5079-13677203119625647092_1.darshan,
mdtest_metadata_storm,claude-sonnet,converged,146.57,138.30669021650596,1.4096229651250265,138.30669021650596,1,1,True,0,9.765625,0.09765625,0.09765625,False,configured,1.0,0.01,True,138.30669021650596,1,mbanisha_mdtest_id17319049-782933_4-6-5776-8708445596069601407_1.darshan,
mdtest_metadata_storm,gpt-4o,max_iterations_reached,3.45,2.1435488404877567,3.5263064540516647,2.597834489510297,4,2,False,1,1.0,1.0,1.0,False,configured,1.0,1.0,True,2.1435488404877567,1,mbanisha_mdtest_id17319283-3777903_4-6-6899-10083657546647545427_1.darshan,
mdtest_metadata_storm,gpt-4.1-mini,converged,15.61,9.630689013232338,1.014898013469701,46.86001371861913,0,1,False,0,9.765625,0.9765625,0.9765625,False,configured,1.0,0.1,True,9.630689013232338,1,mbanisha_mdtest_id17338782-478412_4-6-54817-14298668522233404975_1.darshan,
mdtest_metadata_storm,llama-70b,converged,1.33,130.13990936008156,1.3241285057259584,130.13990936008156,2,2,True,1,0.09765625,0.09765625,0.09765625,True,configured,0.01,0.01,True,1.0,1,mbanisha_mdtest_id17319046-648881_4-6-5776-17396480177826961848_1.darshan,
